Func	Best	Worst	Mean	Median	Standard deviation
1	0.003939692	0.007534606	0.005077132	0.004619523	0.00147641574260792
2	894.435386605	10843.202615795	4819.2683554764	4194.238342918	3888.85885060595
3	62308.014726558	395291.549911499	159593.451473112	123635.443467582	135499.724777322
4	79.660285443	432.641875898	195.7751071152	145.987797296	144.512742192249
5	0.071013725	0.098666673	0.0868423574	0.087680761	0.0104841282519296
6	0.388786566	0.702338834	0.574542483	0.573447246	0.124458729302053
7	3.384519843	6.856244599	5.500886227	5.987907352	1.43451449791611
8	20.057255773	20.203299834	20.1269791818	20.113375073	0.070494999441048
9	2.884501187	3.541037431	3.2307635936	3.350483837	0.314573711015443
10	0.347950814	0.689584878	0.5161207998	0.57086421	0.143142026757352
11	5.657516774	9.218787061	7.5938542114	7.718317177	1.26741771136261
12	6.761981792	15.345002461	11.0916087078	11.308504214	3.11396397321795
13	9.365410041	12.764607207	11.42044443	11.603004649	1.27486781586466
14	472.726984473	534.768858125	492.6906102254	476.697265087	26.7829936753921
15	648.379836081	806.459382751	710.2963773638	700.131168694	66.6261441715736
16	0.679042972	1.28448584	1.074952966	1.206294885	0.256824013023883
17	8.03358972	16.403714362	13.1815442982	14.184017407	3.25567722291558
18	6.556255297	18.785408836	14.9857489988	16.930156809	5.10894153628773
19	0.225343526	0.874680023	0.5386538586	0.476590544	0.276677371645845
20	1.151838577	1.759872297	1.5952027974	1.718807054	0.253786819891373
21	300.827355005	301.838509288	301.3041127534	301.363539211	0.45753853522815
22	563.983700369	888.152574539	716.5198735586	684.547952605	137.486670960029
23	467.287323065	1012.319725931	786.3756297128	798.897301326	207.354121303558
24	172.847389243	209.602756103	186.2363619204	184.427696441	14.8358064257169
25	175.032950657	189.592900023	181.6974800904	181.246674267	5.63946533005447
26	141.294045252	200.007819141	159.1586646406	146.160015292	24.358838923619
27	374.321490237	404.157165977	386.5918468856	382.156311394	12.6636757331671
28	300.647958794	301.56050387	301.2019874982	301.240375183	0.349765823889364
