Func	Best	Worst	Mean	Median	Standard deviation
1	3.4e-08	8.4e-08	5.76e-08	5.7e-08	1.80083314052135e-08
2	4.011e-06	6.4026e-05	2.95962e-05	2.7356e-05	2.17583638102685e-05
3	0.001462857	0.006955458	0.0034527784	0.001824708	0.00252574562355679
4	5.608e-06	5.9821e-05	2.6496e-05	2.4518e-05	2.11103470719929e-05
5	3.2e-08	6.66e-07	2.33e-07	1.36e-07	2.54642887196953e-07
6	8e-09	0.008830926	0.002117172	4.8089e-05	0.00382268976835127
7	0.004888715	0.021210015	0.009779857	0.007599132	0.00649664994666301
8	0.091662048	7.877334307	3.8194169734	3.421315879	3.00903621894801
9	0.179704429	0.375500336	0.2777821918	0.303652114	0.0788218458166437
10	0.007258892	0.031902688	0.0166827518	0.015790279	0.00940639871404196
11	0.12018124	0.998221079	0.3507733158	0.215372019	0.367027794795107
12	0.02268455	0.459068472	0.3041207306	0.351240194	0.170222025183878
13	0.017022906	0.332165371	0.1280908596	0.021541107	0.151439917560825
14	0.444732232	13.639750959	3.8783377176	2.023510376	5.52402888037709
15	0.388432147	4.156883492	1.8367471632	1.504402299	1.60976083007576
16	0.255242025	1.13929237	0.5676992888	0.528498106	0.341810986044786
17	0.39284807	2.314294138	1.7210818024	2.143026848	0.798734304005308
18	1.140174065	2.529647158	1.8959776792	2.178278791	0.596514697544933
19	1.6172e-05	0.000117291	7.80956e-05	8.2375e-05	3.74900786648948e-05
20	0.002844011	0.01945484	0.0151073998	0.019432499	0.00719899912803827
21	4.598973204	21.364445118	11.4203160354	11.532363115	6.34068051433695
22	1.238182338	34.886618492	17.6256705276	15.307058299	12.3324474788465
23	0.406437834	36.152670631	19.6738076284	20.539504269	15.5875863270615
24	0.319785293	6.2364446	3.7319502796	4.803941163	2.70935797122911
25	1.361346985	19.478256571	7.901348928	8.314996104	7.33103167328998
26	0.046440399	0.517659719	0.2138016912	0.146935711	0.182645258524023
27	55.114287441	101.351596254	81.918148949	89.113272343	21.6572095249063
28	3.498688439	21.919975893	13.3201519018	17.787552485	8.23142798769064
