Func	Best	Worst	Mean	Median	Standard deviation
1	3.1e-08	9.3e-08	5.32e-08	4.2e-08	2.44172070474901e-08
2	0.003916793	0.033970633	0.015627433	0.012747204	0.0112435962518858
3	0.072293836	0.349859981	0.1334136514	0.079216885	0.121124337074359
4	2.6262e-05	0.000286583	0.000155699	0.000152216	0.000108935459344054
5	2.3e-08	9.4e-08	6.22e-08	7.1e-08	2.75989130220739e-08
6	0.044891793	0.961803879	0.3779053786	0.206689566	0.387880915788681
7	0.00717951	0.060253378	0.0316826756	0.034383129	0.0235885305642362
8	20.113338109	20.165191619	20.140943012	20.152049673	0.0253425435637758
9	2.237215412	3.495309976	2.9362013032	3.086718711	0.487773071883047
10	0.132855678	0.28176039	0.2087297762	0.193667205	0.0600438194792623
11	4.841210926	9.3143455	6.6619679236	6.159364635	1.74161733571931
12	3.505172878	9.772139914	5.9003791696	4.920547863	2.46325623934444
13	3.955013815	7.304180767	5.9846833132	5.836616786	1.34322666935246
14	283.717954445	353.787237509	317.2996350172	302.534200699	32.2994402080848
15	246.333559026	427.142417513	328.7829088084	323.955624198	65.5025471254402
16	0.708837907	1.486400595	1.1585168708	1.124909929	0.332533588602601
17	9.047418758	10.733750002	9.85320673	9.742999372	0.687201508926221
18	8.260093251	13.605243527	11.6303175964	12.05456627	1.99653424491576
19	0.341022029	0.74552095	0.5189481622	0.544678174	0.16273611137225
20	0.68099749	1.197920217	0.915661732	0.822432638	0.257454676695166
21	300.000079887	300.001146744	300.0004221892	300.000259035	0.000419257806565397
22	408.684614887	532.396277924	495.6579188144	526.944253348	53.0796981298526
23	453.385109565	793.366106744	618.8563494818	635.129744431	135.941308292821
24	141.175816142	189.255184324	172.7778018278	179.205844182	18.7786531983751
25	109.934633113	114.035319322	112.1717736832	112.207771881	1.48883368782042
26	104.425552821	112.035832575	107.0850667866	106.635907366	3.08558620576965
27	363.234917617	393.930137534	382.4315877344	385.484132722	11.6708476932674
28	300.000062871	300.000119107	300.0000938152	300.000103592	2.34579173412469e-05
