It	Max	Avg	Min
50	18.1882645757767	10.8054037523262	5.66672145281024
100	8.28605466513528	6.033228911624	3.54937825805825
150	7.82140949073664	5.34949000779347	2.48871391567064
200	6.69094788616297	4.87002690086555	2.48871391567064
250	6.06638966326005	4.59796048784204	2.48871391567064
300	5.49357623573326	4.39087702791234	2.48871391567064
350	5.46565889142647	4.21258190390102	2.48871391567064
400	5.42817352776802	4.06099038070462	2.15547169996188
450	5.42817352776802	3.97203212396712	2.15547169996188
500	5.42817352776802	3.89874629797262	2.15547169996188
550	5.05509463085275	3.82204306020484	2.15547169996188
600	5.05509463085275	3.80485971782377	2.15547169996188
650	4.82121536606246	3.73124298115926	2.15547169996188
700	4.82121536606246	3.65918580630961	1.9106875036191
750	4.82121536606246	3.62194362978555	1.9106875036191
800	4.82121536606246	3.60335784472534	1.9106875036191
850	4.82121536606246	3.55781178182136	1.9106875036191
900	4.82121536606246	3.53335156776829	1.9106875036191
950	4.58370607317278	3.48343770499976	1.9106875036191
1000	4.58370607317278	3.47017251157832	1.9106875036191
1050	4.58370607317278	3.45631137035725	1.9106875036191
1100	4.58370607317278	3.4198462990888	1.9106875036191
1150	4.58370607317278	3.40785942831157	1.9106875036191
1200	4.58370607317278	3.36487336731937	1.9106875036191
1250	4.58370607317278	3.35720580484367	1.9106875036191
1300	4.58370607317278	3.33237185805653	1.9106875036191
1350	4.50784561005662	3.31698436719742	1.9106875036191
1400	4.50784561005662	3.28864516430745	1.9106875036191
1450	4.50784561005662	3.27522503450139	1.9106875036191
1500	4.50784561005662	3.2724142474831	1.9106875036191
1550	4.40539990086558	3.26443361000452	1.9106875036191
1600	4.25417916946338	3.24606946585485	1.9106875036191
1650	4.25417916946338	3.20878100249757	1.9106875036191
1700	4.25222689385441	3.19990619424442	1.9106875036191
1750	4.25222689385441	3.19412546569242	1.9106875036191
1800	4.25222689385441	3.19098875184555	1.9106875036191
1850	4.25222689385441	3.17186643884066	1.9106875036191
1900	4.25222689385441	3.1674693511707	1.9106875036191
1950	4.22020246271512	3.15248019944504	1.9106875036191
2000	4.22020246271512	3.14545701873962	1.9106875036191
