It	Max	Avg	Min
50	114.55285752217	87.1358151702969	56.8954175773768
100	93.4516335997029	68.7251635661306	50.6977913274648
150	81.359936761757	62.3383937188802	38.3046607442901
200	80.5236875380163	57.4413305499721	32.2184628805843
250	69.1852408326555	54.4538657427078	30.1884225918502
300	68.0425055864815	52.6453651639389	30.1884225918502
350	68.0425055864815	50.7219257596498	29.1561864965407
400	66.0753813559924	49.6633413504505	29.1561864965407
450	64.1780509477226	48.8403131269041	29.1561864965407
500	64.1780509477226	48.2680689988744	29.1561864965407
550	64.1780509477226	47.5824789450527	29.1561864965407
600	63.6611865452023	46.6535730728336	29.1561864965407
650	63.6611865452023	46.3266329777184	23.8088092166781
700	63.6611865452023	45.5104136666049	23.8088092166781
750	63.6611865452023	45.3794892566774	23.8088092166781
800	63.6611865452023	45.1210047128449	23.8088092166781
850	59.7950518890459	44.9705571955576	23.8088092166781
900	59.7950518890459	44.4648204666496	23.8088092166781
950	59.7950518890459	44.4621104186476	23.8088092166781
1000	59.7950518890459	43.9284574281356	23.8088092166781
1050	59.7950518890459	43.5122056697397	23.8088092166781
1100	59.7950518890459	43.0787880639706	23.8088092166781
1150	55.8969433184035	42.664629422548	23.8088092166781
1200	55.8969433184035	42.4989946183151	23.8088092166781
1250	55.8969433184035	42.3644905007185	23.8088092166781
1300	55.8969433184035	42.2685524311633	23.8088092166781
1350	53.5432463267312	41.779623978217	22.6719291168632
1400	53.1672611329815	41.7434399773465	22.6719291168632
1450	53.1672611329815	41.4339562198535	22.6719291168632
1500	53.1672611329815	41.3167269161492	22.6719291168632
1550	53.1672611329815	41.143810952279	19.0093585082434
1600	53.1672611329815	40.9557174176605	19.0093585082434
1650	53.1672611329815	40.6456401994174	19.0093585082434
1700	53.1672611329815	40.3314357697872	19.0093585082434
1750	53.1672611329815	40.1961790771565	19.0093585082434
1800	53.1672611329815	39.9408941188292	19.0093585082434
1850	53.1672611329815	39.4674199348492	19.0093585082434
1900	53.1672611329815	39.0470958777047	19.0093585082434
1950	53.1672611329815	38.9018751859789	19.0093585082434
2000	53.1672611329815	38.7342872098992	19.0093585082434
